835995|2020-08-19 16:44:52|Atualização da base de dados do SSC SAGE do COT - CELG GT para o novo SPCS do Trafo 6 (230  138 kV) da SE Anhanguera e para corrigir anomalia nos comutadores de TAP da SE Itapaci.
836007|2020-08-19 17:14:52|Liberação da LT 02N5 PFE  SPF.
836027|2020-08-19 18:13:02|LIMPEZA DO MURO LATERAL DA CALHA DO VERTEDOURO PARA MAPEAMENTO DE FISSURAS.
836167|2020-08-20 14:49:10|Realizar substituição  cabo condutores  danificados entre as estruturas 13  0 e 13  01 da LT 138 KV entre SE João Câmara III a SE Asa Branca
836229|2020-08-20 17:35:42|Atualização das bases do SAGE no COT na SE Miracema.
836264|2020-08-21 05:54:48|Falha de dados da SE Polo Guamaré para o ONS.
836276|2020-08-21 08:48:45|aplicações trifásicas, com 3000 A durante 0,3 s na linha, cada aplicação. 
836315|2020-08-21 10:30:59|Realizar manutenção preventiva anual no Sistema de Supervisão e Controle da Subestação de SE Maçambará.
836323|2020-08-21 10:41:22|Realizar manutenção preventiva anual no Sistema de Supervisão e Controle da Subestação de SE Uruguaiana.
836362|2020-08-21 12:11:39|Verificar e sanar falha de comunicação da remota da UHE Sá Carvalho.
836388|2020-08-21 14:15:39|Realizar teste de energização e comissionamento do parque eólico São Januário SJA-04, circuito C3 e C4. Aerogeradores: 01, 02, 03, 04, 05, 06 e 07.
836448|2020-08-21 16:44:47|INSERIR NA PROTEÇÃO DE  BARRAS 1  2 O BAY DA  LINHA PNMR-LI7-01 DA ACESSANTE OMEGA ENERGIA.
836528|2020-08-22 08:38:54|indisponibilidade dos Aerogeradores 14 ao 21 da LD 03, para realização da manobra de fechamento do disjuntor da Switchgear do WTG21, devido o mesmo está com nível baixo de gás SF6,
836667|2020-08-24 11:19:33|Alteração da configuração da rede de comunicação que atende o COG.
836705|2020-08-24 14:07:25|Transferência do Centro de Operação COE Visus, para CROP Chesf, para operação remota da SE GPX, EL 04P2 PND  GPX, LT e RMTs associadas. Integração da proteção da barra, integração do 04T2 e integração da 04P2  PND. equipe irá efetuar testes de N2: Comando de seccionadoras e disjuntores.
836696|2020-08-24 13:20:44|RESET FISICO DO RADIO SRAL. RÁDIO PDH - SRAL XD - SIEMENS - ALARME DE   R CHANNEL ALARM ON   (INTEROPERABILIDADE ENTRE RÁDIOS SRAL) NO RÁDIO FRBH-02, E CONSEQUENTE FALHA DE GERENCIAMENTO E SUPERVISÃO DOS RÁDIOS FRAL-01 E FRAL-02 (CAMPO ALEGRA) E ERII-01 (IPAMERÍ).
836711|2020-08-24 14:19:48|ADEQUAÇÃO E TESTES DE CIRCUITOS NA PROTEÇÃO DIFERENCIAL DE BARRAS PARA IMPLANTAÇÃO DO NOVO AT03
836735|2020-08-24 14:53:14|GERAÇÃO DA BASE DE DADOS DO CTRM-FURNAS E DO COS-FURNAS PARA ACERTOS DA BASE DE DADOS DO SISTEMA SOL
836768|2020-08-24 15:55:30|TRANSFERÊNCIA DA SE AML DE MTT  02V3 PARA PTU  02J7 PARA INSPEÇÃO TERMOGRÁFICA NA LT 02J7 TRECHO SUBTERRÂNEO. TEMPO DE RETORNO IMEDIATO.
836815|2020-08-24 19:51:01|RESTRIÇÃO DE GERAÇÃO NA UHE PARA POSSIBILITAR A TRANSPOSIÇÃO DE PLANTAS AQUÁTICAS ESTACIONADAS NOS RETENTORES DE CORPOS FLUTUANTES (LOG BOOM) PELA COMPORTA DE SEGMENTO N.º 4 DO VERTEDOURO DE SUPERFÍCIE, DEVIDO AO GRANDE VOLUME ACUMULADO.
836830|2020-08-24 20:45:58|Energização dos bay 12C1 e 12S4 SE AUD (CHESF) e LDAT 02C4 AUD  ACA e 02S4 AUD  MRC com transferência definitiva da SED MRC, SED BXD, SED ACA, SED CRZ e SE BXU da SE SBD para a SE AUD
836915|2020-08-25 11:11:33|Atualização da base de dados dos servidores Sage de Araraquara e CD1 com correção dos sinais de posição dos disjuntores de carga do serviço auxiliar de Araraquara. -Atualização da base de dados dos servidores Sage CPV com alteração no tempo de time-out para comunicação com Series V para analisar se as falhas de comunicação irão cessar.
